route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Vijayawada to Hyderabad
From INR 414",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,559,4.6,32 Seats available
"Vijayawada to Hyderabad
From INR 414",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),05:00,07h 05m,12:05,500,4.7,16 Seats available
"Vijayawada to Hyderabad
From INR 414",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:30,06h 50m,05:20,480,4.6,15 Seats available
"Vijayawada to Hyderabad
From INR 414",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdSai RK Travels,Non A/C Seater / Sleeper (2+1),22:10,07h 20m,05:30,500,3.9,30 Seats available
"Vijayawada to Hyderabad
From INR 414",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30 Seats available
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06h 31m,06:30,656,4.8,33 Seats available
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,05h 45m,05:35,399,4.6,42 Seats available
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),11:00,06h 40m,17:40,450,4.7,40 Seats available
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdSri Sanvi Tours and Travels,A/C Sleeper (2+1),23:00,05h 53m,04:53,539,4.5,31 Seats available
"Hyderabad to Vijayawada
From INR 367",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38 Seats available
"Kakinada to Visakhapatnam
From INR 239",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Sri Tulasi Tours and Travels,Non A/C Seater / Sleeper (2+1),02:30,03h 20m,05:50,474,3.4,6 Seats available
"Kakinada to Visakhapatnam
From INR 239",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Vahini Travels,NON A/C Push Back (2+2),23:55,04h 05m,04:00,444,3.8,32 Seats available
"Visakhapatnam to Kakinada
From INR 239",https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Sri Tulasi Tours and Travels,Non A/C Seater / Sleeper (2+1),22:00,03h 30m,01:30,522,3.4,21 Seats available
"Visakhapatnam to Kakinada
From INR 239",https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Sai RK Travels,Non A/C Seater / Sleeper (2+1),22:40,03h 50m,02:30,545,3.4,27 Seats available
"Visakhapatnam to Kakinada
From INR 239",https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Navayuga Travels,A/C Sleeper (2+1),22:00,04h 10m,02:10,1090,3.5,25 Seats available
"Chittoor (Andhra Pradesh) to Bangalore
From INR 186",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),00:30,04h 40m,05:10,503,3.5,2 Seats available
"Chittoor (Andhra Pradesh) to Bangalore
From INR 186",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Zingbus Plus,A/C Seater / Sleeper (2+1),05:00,03h 30m,08:30,377,4.4,7 Seats available
"Chittoor (Andhra Pradesh) to Bangalore
From INR 186",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,NueGo,Electric A/C Seater (2+2),08:30,04h 40m,13:10,379,4.2,19 Seats available
"Chittoor (Andhra Pradesh) to Bangalore
From INR 186",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),08:36,04h 37m,13:13,340,4.4,27 Seats available
"Chittoor (Andhra Pradesh) to Bangalore
From INR 186",https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Yolo Bus,N/A,09:22,04h 37m,13:59,320,3.5,31 Seats available
"Kadapa to Bangalore
From INR 412",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Abhishek Bus,A/C Sleeper (2+1),00:20,06h 55m,07:15,1000,3.0,3 Seats available
"Kadapa to Bangalore
From INR 412",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,SUVARNAMUKHI TRAVELS,NON A/C Seater (2+3),21:00,07h 15m,04:15,300,3.0,4 Seats available
"Kadapa to Bangalore
From INR 412",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Sri Vinayaka Travels,NON A/C Sleeper (2+1),22:30,06h 15m,04:45,850,4.3,12 Seats available
"Kadapa to Bangalore
From INR 412",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Sri Vinayaka Travels,NON A/C Seater/ Sleeper (2+1),22:30,06h 30m,05:00,599,4.3,16 Seats available
"Kadapa to Bangalore
From INR 412",https://www.redbus.in/bus-tickets/kadapa-to-bangalore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24 Seats available
"Anantapur (andhra pradesh) to Bangalore
From INR 307",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,Yolo Bus,Bharat Benz A/C Sleeper (2+1),05:21,04h 25m,09:46,1111,3.9,3 Seats available
"Anantapur (andhra pradesh) to Bangalore
From INR 307",https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,YAS TOURS AND TRAVELS,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),20:25,03h 20m,23:45,1500,4.7,23 Seats available
