route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Tezpur to Guwahati
From INR 260",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,NEELKANTH TRAVELS,A/C Seater Push Back (2+2),05:15,03h 15m,08:30,300,4.7,14 Seats available
"Tezpur to Guwahati
From INR 260",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Sparrow Travels (Under ASTC),A/C Seater Push Back (2+2),05:20,04h 10m,09:30,300,3.7,39 Seats available
"Tezpur to Guwahati
From INR 260",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,MAA Anada (UNDER ASTC),AC Seater (2+2),05:20,03h 10m,08:30,304.2,3.5,23 Seats available
"Tezpur to Guwahati
From INR 260",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Kanchan Travels,AC Seater (2+2),05:30,03h 15m,08:45,332,4.3,11 Seats available
"Tezpur to Guwahati
From INR 260",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 Seats available
"Guwahati to Tezpur
From INR 275",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Karisma (Aziba),NON A/C Seater (2+1),05:45,04h 55m,10:40,350,4.1,21 Seats available
"Guwahati to Tezpur
From INR 275",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON A/C Seater (2+1),07:00,05h 00m,12:00,450,3.3,9 Seats available
"Guwahati to Tezpur
From INR 275",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,A/C Seater Push Back (2+2),07:00,04h 00m,11:00,410.69,4.5,1 Seat available
"Guwahati to Tezpur
From INR 275",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,KIRAN TRAVELS,A/C Seater (2+1),07:05,04h 25m,11:30,324,3.1,1 Seat available
"Guwahati to Tezpur
From INR 275",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 Seats available
"Nagaon (Assam) to Guwahati
From INR 167",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Purple Wings Coaches,A/C Seater / Sleeper (2+1),04:00,02h 45m,06:45,396,3.4,5 Seats available
"Nagaon (Assam) to Guwahati
From INR 167",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,MAA Anada (UNDER ASTC),AC Seater (2+2),06:25,02h 05m,08:30,247.5,4.6,24 Seats available
"Nagaon (Assam) to Guwahati
From INR 167",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,NEELKANTH TRAVELS,A/C Seater Push Back (2+2),06:25,02h 05m,08:30,250,N/A,14 Seats available
"Nagaon (Assam) to Guwahati
From INR 167",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Kanchan Travels,AC Seater (2+2),06:30,02h 15m,08:45,262,3.9,11 Seats available
"Nagaon (Assam) to Guwahati
From INR 167",https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),07:15,02h 20m,09:35,329,4.3,13 Seats available
"Guwahati to Nagaon (Assam)
From INR 194",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,07:30,02h 00m,09:30,270.01,4.6,2 Seats available
"Guwahati to Nagaon (Assam)
From INR 194",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Deep Travels,Non AC Seater (2+1),07:30,02h 30m,10:00,250,3.7,26 Seats available
"Guwahati to Nagaon (Assam)
From INR 194",https://www.redbus.in/bus-tickets/guwahati-to-nagaon,JOY HANUMAN,Non AC Seater (2+2),07:40,02h 50m,10:30,200,4.2,14 Seats available
