route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Delhi to Shimla
From INR 507",https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),23:00,09h 00m,08:00,495,4.8,28 Seats available
"Delhi to Shimla
From INR 507",https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,08h 20m,07:45,523,4.5,37 Seats available
"Delhi to Shimla
From INR 507",https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),23:30,08h 10m,07:40,648,4.5,33 Seats available
"Delhi to Shimla
From INR 507",https://www.redbus.in/bus-tickets/delhi-to-shimla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33 Seats available
"Delhi to Shimla
From INR 507",https://www.redbus.in/bus-tickets/delhi-to-shimla,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30 Seats available
"Shimla to Delhi
From INR 505",https://www.redbus.in/bus-tickets/shimla-to-delhi,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,16:30,09h 30m,02:00,1103,3.8,31 Seats available
"Shimla to Delhi
From INR 505",https://www.redbus.in/bus-tickets/shimla-to-delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),21:30,08h 00m,05:30,522,4.8,26 Seats available
"Shimla to Delhi
From INR 505",https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,08h 00m,04:30,569,4.4,43 Seats available
"Shimla to Delhi
From INR 505",https://www.redbus.in/bus-tickets/shimla-to-delhi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46 Seats available
"Shimla to Delhi
From INR 505",https://www.redbus.in/bus-tickets/shimla-to-delhi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28 Seats available
"Manali to Chandigarh
From INR 544",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,06h 10m,03:10,569,4.8,21 Seats available
"Manali to Chandigarh
From INR 544",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:00,05h 30m,03:30,664,4.6,26 Seats available
"Manali to Chandigarh
From INR 544",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),16:00,07h 00m,23:00,712,4.6,20 Seats available
"Manali to Chandigarh
From INR 544",https://www.redbus.in/bus-tickets/manali-to-chandigarh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9 Seats available
"Manali to Chandigarh
From INR 544",https://www.redbus.in/bus-tickets/manali-to-chandigarh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31 Seats available
"Chandigarh to Manali
From INR 539",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),22:50,06h 40m,05:30,474,4.8,41 Seats available
"Chandigarh to Manali
From INR 539",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),23:15,06h 10m,05:25,467,4.7,28 Seats available
"Chandigarh to Manali
From INR 539",https://www.redbus.in/bus-tickets/chandigarh-to-manali,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),23:30,06h 30m,06:00,474,4.7,45 Seats available
"Chandigarh to Manali
From INR 539",https://www.redbus.in/bus-tickets/chandigarh-to-manali,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36 Seats available
"Chandigarh to Manali
From INR 539",https://www.redbus.in/bus-tickets/chandigarh-to-manali,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48 Seats available
"Delhi to Manali
From INR 804",https://www.redbus.in/bus-tickets/delhi-to-manali,Zingbus Plus,Volvo 9600 A/C Semi Sleeper (2+2),21:25,11h 15m,08:40,572,4.9,15 Seats available
"Delhi to Manali
From INR 804",https://www.redbus.in/bus-tickets/delhi-to-manali,Malana Travels,Volvo 9600 Multi Axle Semi-Sleeper (2+2),21:30,10h 00m,07:30,674,4.7,32 Seats available
"Delhi to Manali
From INR 804",https://www.redbus.in/bus-tickets/delhi-to-manali,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),19:00,12h 00m,07:00,569,4.7,38 Seats available
"Delhi to Manali
From INR 804",https://www.redbus.in/bus-tickets/delhi-to-manali,AdR S YADAV SMART BUS PRIVATE LIMITED,N/A,19:15,13h 15m,08:30,475,4.4,43 Seats available
"Delhi to Manali
From INR 804",https://www.redbus.in/bus-tickets/delhi-to-manali,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25 Seats available
"Hamirpur (Himachal Pradesh) to Chandigarh
From INR 292",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:40,04h 25m,02:05,657,4.7,9 Seats available
"Hamirpur (Himachal Pradesh) to Chandigarh
From INR 292",https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,04h 55m,01:15,854,4.2,24 Seats available
"Delhi to Hamirpur (Himachal Pradesh)
From INR 555",https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:20,08h 35m,05:55,648,4.6,21 Seats available
"Delhi to Hamirpur (Himachal Pradesh)
From INR 555",https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),21:00,09h 10m,06:10,664,4.6,30 Seats available
"Delhi to Chandigarh
From INR 255",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,Electric A/C Seater (2+2),10:00,05h 05m,15:05,380,3.5,7 Seats available
"Delhi to Chandigarh
From INR 255",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,Electric A/C Seater (2+2),11:00,05h 25m,16:25,380,3.5,28 Seats available
"Delhi to Chandigarh
From INR 255",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,NueGo,Electric A/C Seater (2+2),12:00,05h 05m,17:05,380,3.5,26 Seats available
"Delhi to Chandigarh
From INR 255",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32 Seats available
"Delhi to Chandigarh
From INR 255",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32 Seats available
"Manali to Delhi
From INR 804",https://www.redbus.in/bus-tickets/manali-to-delhi,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),21:00,11h 00m,08:00,664,4.6,25 Seats available
"Manali to Delhi
From INR 804",https://www.redbus.in/bus-tickets/manali-to-delhi,IntrCity SmartBus,Volvo A/C Semi Sleeper (2+2),19:30,11h 30m,07:00,907,4.6,30 Seats available
"Manali to Delhi
From INR 804",https://www.redbus.in/bus-tickets/manali-to-delhi,IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),18:15,11h 45m,06:00,761,4.6,10 Seats available
"Manali to Delhi
From INR 804",https://www.redbus.in/bus-tickets/manali-to-delhi,AdHimalayan Nomad Ktc,Volvo A/C Semi Sleeper (2+2),16:30,11h 30m,04:00,765,3.8,41 Seats available
"Manali to Delhi
From INR 804",https://www.redbus.in/bus-tickets/manali-to-delhi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16 Seats available
