route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Bangalore to Kozhikode
From INR 215",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Silver Line Travels,NON A/C Semi Sleeper (2+2),22:00,08h 10m,06:10,999,4.5,40 Seats available
"Bangalore to Kozhikode
From INR 215",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,700,4.4,28 Seats available
"Bangalore to Kozhikode
From INR 215",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,599,4.2,39 Seats available
"Bangalore to Kozhikode
From INR 215",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,N/A,Bharat Benz A/C Sleeper (2+1),20:10,10h 35m,06:45,785,4.1,19 Seats available
"Bangalore to Kozhikode
From INR 215",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18 Seats available
"Kozhikode to Ernakulam
From INR 174",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,NON A/C Semi Sleeper (2+2),21:00,04h 30m,01:30,450,3.7,32 Seats available
"Kozhikode to Ernakulam
From INR 174",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),21:56,04h 44m,02:40,700,3.8,34 Seats available
"Kozhikode to Ernakulam
From INR 174",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,BLM Transports,A/C Sleeper (2+1),22:00,04h 45m,02:45,903,3.9,27 Seats available
"Kozhikode to Ernakulam
From INR 174",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,03h 30m,01:45,800,4.1,31 Seats available
"Kozhikode to Ernakulam
From INR 174",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32 Seats available
"Kozhikode to Bangalore
From INR 411",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,MMK Travels,VE A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,999,4.4,19 Seats available
"Kozhikode to Bangalore
From INR 411",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,08h 45m,21:00,799,4.4,32 Seats available
