route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Jodhpur to Ajmer
From INR 226",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,B R Travels,AC Sleeper (2+1),18:30,04h 30m,23:00,500,4.0,34 Seats available
"Jodhpur to Ajmer
From INR 226",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,V k jain travels,NON A/C Seater/ Sleeper (2+1),18:35,04h 50m,23:25,400,3.0,25 Seats available
"Jodhpur to Ajmer
From INR 226",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,FlixBus,A/C Sleeper (2+1),19:00,04h 50m,23:50,141,5.0,27 Seats available
"Jodhpur to Ajmer
From INR 226",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Mahadev Travels JOD,Bharat Benz A/C Sleeper (2+1),20:20,05h 25m,01:45,700,4.4,28 Seats available
"Jodhpur to Ajmer
From INR 226",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40 Seats available
"Beawar (Rajasthan) to Jaipur (Rajasthan)
From INR 206",https://www.redbus.in/bus-tickets/beawer-to-jaipur,V k jain travels,NON A/C Seater/ Sleeper (2+1),12:35,04h 26m,17:01,300,3.0,24 Seats available
"Beawar (Rajasthan) to Jaipur (Rajasthan)
From INR 206",https://www.redbus.in/bus-tickets/beawer-to-jaipur,Jain travels regd,NON AC Seater / Sleeper 2+1,14:40,03h 50m,18:30,300,3.5,36 Seats available
"Beawar (Rajasthan) to Jaipur (Rajasthan)
From INR 206",https://www.redbus.in/bus-tickets/beawer-to-jaipur,Jain travels regd,A/C Seater / Sleeper (2+1),17:20,03h 25m,20:45,300,3.5,40 Seats available
"Beawar (Rajasthan) to Jaipur (Rajasthan)
From INR 206",https://www.redbus.in/bus-tickets/beawer-to-jaipur,Jain travels regd,NON AC Seater / Sleeper 2+1,19:30,03h 30m,23:00,350,3.5,42 Seats available
"Beawar (Rajasthan) to Jaipur (Rajasthan)
From INR 206",https://www.redbus.in/bus-tickets/beawer-to-jaipur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38 Seats available
"Udaipur to Jodhpur
From INR 285",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,M R Travels,Volvo Multi-Axle A/C seater/sleeper (2+1),17:10,04h 45m,21:55,600,4.4,52 Seats available
"Udaipur to Jodhpur
From INR 285",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),17:00,04h 30m,21:30,550,4.4,10 Seats available
"Udaipur to Jodhpur
From INR 285",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),12:50,04h 30m,17:20,550,4.0,19 Seats available
"Udaipur to Jodhpur
From INR 285",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33 Seats available
"Udaipur to Jodhpur
From INR 285",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37 Seats available
"Jaipur (Rajasthan) to Jodhpur
From INR 356",https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Gajraj Travels,A/C Sleeper (2+1),22:15,07h 20m,05:35,600,4.6,27 Seats available
"Jaipur (Rajasthan) to Jodhpur
From INR 356",https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jain travels regd,A/C Seater / Sleeper (2+1),22:30,06h 35m,05:05,450,4.5,41 Seats available
"Jaipur (Rajasthan) to Jodhpur
From INR 356",https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,M R Travels,A/C Seater / Sleeper (2+1),22:30,07h 00m,05:30,500,4.4,33 Seats available
"Jaipur (Rajasthan) to Jodhpur
From INR 356",https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35 Seats available
"Jaipur (Rajasthan) to Jodhpur
From INR 356",https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32 Seats available
"Sikar to Jaipur (Rajasthan)
From INR 129",https://www.redbus.in/bus-tickets/sikar-to-jaipur,Rathore Travels Madho,NON AC Seater / Sleeper 2+1,11:00,02h 30m,13:30,350,3.2,37 Seats available
