route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Burdwan to Kolkata
From INR 95",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),10:50,03h 00m,13:45,429,3.8,26 Seats available
"Burdwan to Kolkata
From INR 95",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),11:00,03h 00m,14:00,429,4.5,32 Seats available
"Burdwan to Kolkata
From INR 95",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line,Volvo 9600 A/C Semi Sleeper (2+2),11:40,02h 50m,14:30,429,4.8,29 Seats available
"Burdwan to Kolkata
From INR 95",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),12:10,02h 50m,15:00,429,3.7,15 Seats available
"Burdwan to Kolkata
From INR 95",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,N/A,12:30,03h 00m,15:30,429,3.9,26 Seats available
"Kolkata to Burdwan
From INR 95",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Greenline (Karunamoyee),Volvo A/C Seater (2+2),11:00,02h 30m,13:30,429,4.5,24 Seats available
"Kolkata to Burdwan
From INR 95",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),11:00,01h 45m,12:45,429,4.2,22 Seats available
"Kolkata to Burdwan
From INR 95",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Express Line,Volvo A/C Seater (2+2),11:05,01h 30m,12:35,429,4.8,35 Seats available
"Kolkata to Burdwan
From INR 95",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Greenline,Volvo A/C Seater (2+2),11:30,02h 30m,14:00,429,5.0,36 Seats available
"Kolkata to Burdwan
From INR 95",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 150",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),11:00,04h 00m,15:00,486,3.2,12 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 150",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),11:10,04h 00m,15:00,486,3.7,13 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 150",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline,Volvo A/C Seater (2+2),11:30,04h 00m,15:30,486,4.4,26 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 150",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline (Karunamoyee),N/A,12:00,03h 50m,15:50,486,4.6,27 Seats available
"Durgapur (West Bengal) to Kolkata
From INR 150",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38 Seats available
"Kolkata to Haldia
From INR 98",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Gogol City Service,AC Seater (2+3),12:50,02h 45m,15:35,148,4.2,52 Seats available
"Kolkata to Haldia
From INR 98",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Gogol City Service,AC Seater (2+3),13:30,02h 45m,16:15,143,4.3,45 Seats available
"Kolkata to Haldia
From INR 98",https://www.redbus.in/bus-tickets/kolkata-to-haldia,KRISHNAKALI,A/C Seater (2+3),14:45,02h 45m,17:30,157,3.2,60 Seats available
"Kolkata to Haldia
From INR 98",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Diamond City Service,A/C Executive (2+3),15:10,03h 45m,18:55,149,4.5,44 Seats available
"Kolkata to Haldia
From INR 98",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Droupadi Paribahan,A/C Seater (2+3),14:10,02h 48m,16:58,160,2.8,60 Seats available
"Haldia to Kolkata
From INR 110",https://www.redbus.in/bus-tickets/haldia-to-kolkata,WBTC (CTC) Habra- Barasat- Haldia - 180|16:45,Non AC Seater (2+3),16:45,02h 45m,19:30,97,3.5,49 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 150",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,WBTC (CTC) KOLKATA - ASANSOL - PURULIA (AC VOLVO) Banglashree Express - 133|13:45,Volvo AC Seater (2+2),13:45,03h 00m,16:45,350,3.7,34 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 150",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Greenline (Karunamoyee),Volvo A/C Seater (2+2),11:00,04h 00m,15:00,486,4.2,25 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 150",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),11:00,03h 00m,14:00,486,4.2,22 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 150",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Express Line,Volvo A/C Seater (2+2),11:05,03h 20m,14:25,486,4.7,35 Seats available
"Kolkata to Durgapur (West Bengal)
From INR 150",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13 Seats available
"Kolkata to Arambagh (West Bengal)
From INR 76",https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - NON STOP - 11:30 - 579,Non AC Seater (2+3),11:30,02h 30m,14:00,95,3.8,50 Seats available
"Kolkata to Arambagh (West Bengal)
From INR 76",https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - NON STOP - 12:30 - 580,Non AC Seater (2+3),12:30,02h 30m,15:00,95,4.4,51 Seats available
"Kolkata to Arambagh (West Bengal)
From INR 76",https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - NON STOP - 14:30 - 582,Non AC Seater (2+3),14:30,02h 30m,17:00,95,3.7,49 Seats available
"Kolkata to Arambagh (West Bengal)
From INR 76",https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - NON STOP - 15:30 - 583,Non AC Seater (2+3),15:30,02h 30m,18:00,95,4.3,51 Seats available
"Kolkata to Arambagh (West Bengal)
From INR 76",https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,SBSTC-KOLKATA - ARAMBAG - 16:30 - 584,Non AC Seater (2+3),16:30,02h 30m,19:00,95,3.9,52 Seats available
