route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Khammam to Hyderabad
From INR 281",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:20,05h 40m,05:00,680,3.7,26 Seats available
"Khammam to Hyderabad
From INR 281",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,NON A/C Seater (2+2),23:40,06h 20m,06:00,400,4.2,30 Seats available
"Khammam to Hyderabad
From INR 281",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05h 20m,05:00,500,4.6,24 Seats available
"Khammam to Hyderabad
From INR 281",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18 Seats available
"Khammam to Hyderabad
From INR 281",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28 Seats available
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06h 31m,06:30,595,4.8,33 Seats available
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,05h 45m,05:35,400,4.6,39 Seats available
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),11:05,06h 35m,17:40,450,4.7,21 Seats available
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26 Seats available
"Hyderabad to Vijayawada
From INR 396",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38 Seats available
"Hyderabad to Khammam
From INR 281",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Siri Tours and Travels,A/C Seater / Sleeper (2+1),18:30,06h 00m,00:30,555,4.2,23 Seats available
"Hyderabad to Khammam
From INR 281",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),19:30,04h 00m,23:30,700,3.8,24 Seats available
"Hyderabad to Khammam
From INR 281",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Shyamoli Paribahan Pvt Ltd,A/C Seater/Sleeper (2+1),20:00,05h 00m,01:00,609,4.3,29 Seats available
"Hyderabad to Khammam
From INR 281",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40 Seats available
"Hyderabad to Khammam
From INR 281",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23 Seats available
"Hyderabad to Srisailam
From INR 390",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Naveen Tours and Travels,A/C Seater / Sleeper (2+1),22:35,07h 25m,06:00,600,1.0,33 Seats available
"Karimnagar to Hyderabad
From INR 283",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Orange Tours And Travels,Scania AC Multi Axle Sleeper (2+1),18:15,03h 25m,21:40,500,4.1,21 Seats available
"Karimnagar to Hyderabad
From INR 283",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Orange Tours And Travels,A/C Sleeper (2+1),18:00,03h 10m,21:10,500,2.6,33 Seats available
"Karimnagar to Hyderabad
From INR 283",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),18:00,03h 55m,21:55,690,2.7,26 Seats available
"Hyderabad to Nirmal
From INR 376",https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,New Royal Travels (Raipur),A/C Seater / Sleeper (2+1),15:15,04h 45m,20:00,749,3.5,27 Seats available
"Hyderabad to Nirmal
From INR 376",https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,New Royal Travels (Raipur),Bharat Benz A/C Sleeper (2+1),17:30,04h 15m,21:45,849,3.5,24 Seats available
"Hyderabad to Nirmal
From INR 376",https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Orange Tours And Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),18:00,04h 00m,22:00,450,3.7,42 Seats available
"Hyderabad to Nirmal
From INR 376",https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Sahara Tours and Travels,Bharat Benz A/C Seater (2+2),18:00,03h 45m,21:45,450,3.4,45 Seats available
"Hyderabad to Nirmal
From INR 376",https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37 Seats available
"Hyderabad to Mancherial
From INR 429",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,DNR Express,AC Sleeper (2+1),21:30,04h 30m,02:00,809,2.0,32 Seats available
"Hyderabad to Mancherial
From INR 429",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,IPS Bus Service,NON A/C Sleeper (2+2),15:30,04h 50m,20:20,1500,1.6,40 Seats available
"Hyderabad to Adilabad
From INR 504",https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Orange Tours And Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),18:00,05h 15m,23:15,500,3.8,39 Seats available
"Hyderabad to Adilabad
From INR 504",https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Sahara Tours and Travels,A/C Sleeper (2+1),22:30,06h 15m,04:45,650,3.8,23 Seats available
"Hyderabad to Adilabad
From INR 504",https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,GDR Tours and Travels,Bharat Benz A/C Seater (2+2),18:00,05h 15m,23:15,500,3.5,36 Seats available
"Hyderabad to Adilabad
From INR 504",https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Savera Tours and Travels,NON A/C Sleeper (2+1),22:15,07h 15m,05:30,599,3.6,22 Seats available
