route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Bareilly to Delhi
From INR 413",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),17:00,06h 20m,23:20,600,3.0,28 Seats available
"Bareilly to Delhi
From INR 413",https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira TPT,AC Sleeper (2+1),23:15,05h 45m,05:00,1000,3.9,8 Seats available
"Bareilly to Delhi
From INR 413",https://www.redbus.in/bus-tickets/bareilly-to-delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),23:59,06h 06m,06:05,799,4.5,28 Seats available
"Bareilly to Delhi
From INR 413",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,N/A,19:00,06h 10m,01:10,N/A,N/A,22 Seats available
"Bareilly to Delhi
From INR 413",https://www.redbus.in/bus-tickets/bareilly-to-delhi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24 Seats available
"Aligarh (uttar pradesh) to Delhi
From INR 203",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0084,Ordinary Non AC Seater 2+3,12:28,03h 20m,15:48,203,3.3,52 Seats available
"Aligarh (uttar pradesh) to Delhi
From INR 203",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0007,Janrath AC Seater 2+3,12:30,03h 00m,15:30,263,4.0,47 Seats available
"Aligarh (uttar pradesh) to Delhi
From INR 203",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0098,Ordinary Non AC Seater 2+3,12:30,03h 20m,15:50,203,N/A,52 Seats available
"Aligarh (uttar pradesh) to Delhi
From INR 203",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0175,Janrath AC Seater 2+2,12:59,03h 01m,16:00,304,3.3,32 Seats available
"Aligarh (uttar pradesh) to Delhi
From INR 203",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0174,Janrath AC Seater 2+2,13:59,03h 00m,16:59,304,3.3,32 Seats available
"Delhi to Bareilly
From INR 411",https://www.redbus.in/bus-tickets/delhi-to-bareilly,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:15,06h 00m,04:15,799,4.5,31 Seats available
"Delhi to Bareilly
From INR 411",https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,06h 50m,03:30,700,2.1,27 Seats available
"Delhi to Bareilly
From INR 411",https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira TPT,AC Sleeper (2+1),20:30,06h 20m,02:50,799,3.3,29 Seats available
"Delhi to Bareilly
From INR 411",https://www.redbus.in/bus-tickets/delhi-to-bareilly,New Khaira Transport,N/A,21:00,06h 30m,03:30,500,2.0,45 Seats available
"Delhi to Bareilly
From INR 411",https://www.redbus.in/bus-tickets/delhi-to-bareilly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30 Seats available
"Delhi to Aligarh (uttar pradesh)
From INR 223",https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,NON A/C Seater/ Sleeper (2+1),22:00,03h 30m,01:30,670,2.6,51 Seats available
"Delhi to Aligarh (uttar pradesh)
From INR 223",https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,NON AC Seater / Sleeper 2+1,21:00,03h 30m,00:30,670,2.6,45 Seats available
"Delhi to Aligarh (uttar pradesh)
From INR 223",https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,NON A/C Seater/ Sleeper (2+1),19:30,06h 00m,01:30,520,2.6,51 Seats available
"Delhi to Aligarh (uttar pradesh)
From INR 223",https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,A/C Seater / Sleeper (2+1),20:40,05h 50m,02:30,570,2.6,46 Seats available
